KO_ID	Gene_name	Gene_description	Pathway	Pathway_small	Metabolism
K00370	narG, narZ, nxrA	nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]	Nitrification|Denitrification|Dissimilatory nitrate reduction	Nit_Denitr_Dissimil_nitrate_red	Nitrogen metabolism
K00371	narH, narY, nxrB	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	Nitrification|Denitrification|Dissimilatory nitrate reduction	Nit_Denitr_Dissimil_nitrate_red	Nitrogen metabolism
K10944	pmoA-amoA	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	Nitrification|Methane oxidation	Ammonia oxidation	Nitrogen metabolism
K10945	pmoB-amoB	methane/ammonia monooxygenase subunit B	Nitrification|Methane oxidation	Ammonia oxidation	Nitrogen metabolism
K10946	pmoC-amoC	methane/ammonia monooxygenase subunit C	Nitrification|Methane oxidation	Ammonia oxidation	Nitrogen metabolism
PF02461	AmoA	ammonia monooxygenase	Nitrification|Methane oxidation	Ammonia oxidation	Nitrogen metabolism
K02588	nifH	nitrogenase iron protein NifH [EC:1.18.6.1]	Nitrogen fixation	Nitrogen fixation	Nitrogen metabolism
K02586	nifD	nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	Nitrogen fixation	Nitrogen fixation	Nitrogen metabolism
K02591	nifK	nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	Nitrogen fixation	Nitrogen fixation	Nitrogen metabolism
K18049	mpnS	methylphosphonate synthase [EC:1.13.11.73]	Phosphonate and phosphinate metabolism	Phosphonate and phosphinate metabolism	Methane production 
K00198	cooS, acsA	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Wood-Ljungdahl pathway	Carbon metabolism/autotrophic pathways
K14138	acsB	acetyl-CoA synthase [EC:2.3.1.169]	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Wood-Ljungdahl pathway	Carbon metabolism/autotrophic pathways
K15023	acsE	5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258]	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Wood-Ljungdahl pathway	Carbon metabolism/autotrophic pathways
K00244	frdA	fumarate reductase flavoprotein subunit [EC:1.3.5.4]	Reductive citrate cycle (rTCA cycle; Arnon-Buchanan cycle)	Reductive citrate cycle	Carbon metabolism/autotrophic pathways
K00245	frdB	fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	Reductive citrate cycle (rTCA cycle; Arnon-Buchanan cycle)	Reductive citrate cycle	Carbon metabolism/autotrophic pathways
K15230	aclA	ATP-citrate lyase alpha-subunit [EC:2.3.3.8]	Reductive citrate cycle (rTCA cycle; Arnon-Buchanan cycle)	Reductive citrate cycle	Carbon metabolism/autotrophic pathways
K15231	aclB	ATP-citrate lyase beta-subunit [EC:2.3.3.8]	Reductive citrate cycle (rTCA cycle; Arnon-Buchanan cycle)	Reductive citrate cycle	Carbon metabolism/autotrophic pathways
K00177	korC, oorC	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	Reductive citrate cycle (rTCA cycle; Arnon-Buchanan cycle)	Reductive citrate cycle	Carbon metabolism/autotrophic pathways
K00176	korD, oorD	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	Reductive citrate cycle (rTCA cycle; Arnon-Buchanan cycle)	Reductive citrate cycle	Carbon metabolism/autotrophic pathways
K00174	korA, oorA, oforA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	Reductive citrate cycle (rTCA cycle; Arnon-Buchanan cycle)	Reductive citrate cycle	Carbon metabolism/autotrophic pathways
K00175	korB, oorB, oforB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	Reductive citrate cycle (rTCA cycle; Arnon-Buchanan cycle)	Reductive citrate cycle	Carbon metabolism/autotrophic pathways
K01595	ppc	PEP carboxylase [EC:4.1.1.31]	Reductive citrate cycle (rTCA cycle; Arnon-Buchanan cycle)	Reductive citrate cycle	Carbon metabolism/autotrophic pathways
K05301	sulfite deh.	sulfite dehydrogenase [EC:1.8.2.1]	Sulfite oxidation	Sulfite oxidation	Sulfur metabolism
K00387	SUOX	sulfite oxidase [EC:1.8.3.1]	Sulfite oxidation	Sulfite oxidation	Sulfur metabolism
K17222	soxA	sulfur-oxidizing protein SoxA	Thiosulfate oxidation by SOX complex	Thiosulfate oxidation SOX	Sulfur metabolism
K17223	soxX	sulfur-oxidizing protein SoxX	Thiosulfate oxidation by SOX complex	Thiosulfate oxidation SOX	Sulfur metabolism
K17224	soxB	sulfur-oxidizing protein SoxB	Thiosulfate oxidation by SOX complex	Thiosulfate oxidation SOX	Sulfur metabolism
K17225	soxC	sulfane dehydrogenase subunit SoxC	Thiosulfate oxidation by SOX complex	Thiosulfate oxidation SOX	Sulfur metabolism
K17226	soxY	sulfur-oxidizing protein SoxY	Thiosulfate oxidation by SOX complex	Thiosulfate oxidation SOX	Sulfur metabolism
K17227	soxZ	sulfur-oxidizing protein SoxZ	Thiosulfate oxidation by SOX complex	Thiosulfate oxidation SOX	Sulfur metabolism
COG0804	ureC	Urease alpha-subunit [3.5.1.5]	Urea metabolism	Urea metabolism	Nitrogen metabolism
COG0831	ureA	Urease gamma-subunit [3.5.1.5]	Urea metabolism	Urea metabolism	Nitrogen metabolism
COG0832	ureB	Urease beta-subunit [3.5.1.5]	Urea metabolism	Urea metabolism	Nitrogen metabolism
COG0829	ureH	Urease accessory protein 	Urea metabolism	Urea metabolism	Nitrogen metabolism
COG0378	hypB	Nitrite-binding GTPase for urease/hydrogenase expression and maturation	Urea metabolism	Urea metabolism	Nitrogen metabolism
