MAGs	d	p	c	o	f	g	s
GFS_10914	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Fen-181	g__FEN-299	s__
GFS_10983	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Holophagales	f__Holophagaceae	g__JADJVL01	s__
GFS_11049	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Edaphobacter	s__
GFS_11198	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
GFS_11879	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__CADEFD01	s__
GFS_12315	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__12-FULL-67-14b	s__
GFS_12554	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__RBC074	f__RBC074	g__	s__
GFS_12702	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__2-12-FULL-66-21	g__2-12-FULL-66-21	s__
GFS_12827	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__RBC074	f__RBC074	g__JACPYM01	s__
GFS_12838	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Bryobacter	s__
GFS_12946	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__	s__
GFS_12979	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__	s__
GFS_13026	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
GFS_13433	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
GFS_13436	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__GCA-002050365	s__
GFS_13688	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
GFS_13892	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5704	f__UBA5704	g__JAGPDF01	s__
GFS_14056	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__	s__
GFS_14275	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__SXVE01	s__
GFS_1591	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__RBC074	f__RBC074	g__	s__
GFS_2025	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__2-12-FULL-66-21	g__2-12-FULL-66-21	s__
GFS_2111	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__SCN-69-37	g__SCUN01	s__
GFS_2191	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__QIAJ01	s__
GFS_2207	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__Gp1-AA145	s__
GFS_2330	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
GFS_2886	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Holophagales	f__Holophagaceae	g__JADJVL01	s__
GFS_2967	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__12-FULL-67-14b	s__
GFS_3080	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__GCA-002050365	s__
GFS_3114	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__DSOI01	s__
GFS_3148	d__Bacteria	p__Acidobacteriota	c__Mor1	o__Mor1	f__	g__	s__
GFS_3178	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__RBC074	f__RBC074	g__	s__
GFS_3883	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Fen-336	f__JAGNNV01	g__JAGNNV01	s__
GFS_4334	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__CADEFD01	s__
GFS_4384	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__CAIRSA01	s__
GFS_4547	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__	s__
GFS_4620	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__CADEFD01	s__
GFS_4682	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Granulicella_C	s__
GFS_4964	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Bryobacter	s__
GFS_5321	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
GFS_5479	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__WHSN01	s__
GFS_5684	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__	s__
GFS_5747	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
GFS_5775	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Holophagales	f__Holophagaceae	g__Geothrix	s__
GFS_5862	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__WHSN01	s__
GFS_5966	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__Gp6-AA45	s__
GFS_6199	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__Gp6-AA45	s__
GFS_6452	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__	s__
GFS_6506	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__	s__
GFS_6523	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__RBC074	f__RBC074	g__	s__
GFS_6618	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__GCA-002050365	s__
GFS_6668	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Holophagales	f__Holophagaceae	g__JADJVL01	s__
GFS_6979	d__Bacteria	p__Acidobacteriota	c__Mor1	o__Mor1	f__	g__	s__
GFS_6983	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
GFS_6987	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__RBC074	f__RBC074	g__JACPYM01	s__
GFS_6995	d__Bacteria	p__Acidobacteriota	c__Mor1	o__Gp22-AA2	f__Gp22-AA2	g__	s__
GFS_7267	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
GFS_7831	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__CAIVVT01	s__
GFS_8143	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__RBC074	f__RBC074	g__	s__
GFS_8291	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__	s__
GFS_8318	d__Bacteria	p__Acidobacteriota	c__Mor1	o__Mor1	f__	g__	s__
GFS_8591	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
GFS_8640	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__Gp6-AA45	s__
GFS_895	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__Bog-209	s__
GFS_9303	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__SXVE01	s__
GFS_9488	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__	s__
GFS_953	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Fen-336	f__JAGNNV01	g__JAGNNV01	s__
GL100_DN_concoct_188	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Holophagales	f__Holophagaceae	g__JAFDVN01	s__
GL117_DN_metabinner_7	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__2-12-FULL-66-21	g__2-12-FULL-66-21	s__
GL117_UP_concoct_38	d__Bacteria	p__Acidobacteriota	c__Mor1	o__Mor1	f__	g__	s__
GL117_UP_metabat_70	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__DSOI01	s__
GL119_DN_concoct_185	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
GL119_DN_concoct_221_sub	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
GL124_DN_concoct_180_sub	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Fen-336	f__JAGNNV01	g__JAGNNV01	s__
GL124_DN_metabat_122_sub	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__RBC074	f__RBC074	g__	s__
GL132_UP_concoct_180	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Fen-336	f__JAGNNV01	g__JAGNNV01	s__
GL139_UP_metabinner_4	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__2-12-FULL-66-21	g__2-12-FULL-66-21	s__
GL140_2_concoct_4_sub	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Holophagales	f__Holophagaceae	g__JADJVL01	s__
GL140_2_metabinner_95	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
GL140_3_concoct_145_sub	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Terracidiphilus	s__
GL140_3_concoct_147	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__	s__
GL140_3_concoct_225_sub	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
GL140_3_metabinner_3	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__PALSA-350	s__
GL140_3_metabinner_33_sub	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
GL140_4_concoct_248_sub	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__TMP-7	s__
GL140_5_concoct_333_sub	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Bryobacter	s__
GL140_5_metabinner_107	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Holophagales	f__Holophagaceae	g__Geothrix	s__
GL140_5_metabinner_6	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__Bog-209	s__
GL15_Down_concoct_136_sub	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__	s__
GL26_DN_concoct_27	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__CADEFD01	s__
GL30_DN_concoct_186	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Bryobacter	s__
GL30_UP_concoct_31	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__12-FULL-67-14b	s__
GL32_Down_metabinner_21_sub	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
GL32_Down_metabinner_33	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
GL32_Down_metabinner_4	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__Bog-209	s__
GL34_DN_concoct_229	d__Bacteria	p__Acidobacteriota	c__Mor1	o__Mor1	f__	g__	s__
GL34_DN_metabinner_36_sub	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
GL34_UP_concoct_125	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Granulicella_C	s__
GL35_DN_metabat_92_sub	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__	s__
GL35_DN_metabinner_6	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
GL36_UP_metabinner_12	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__WHSN01	s__
GL44_Down_metabinner_2	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
GL45_Down_concoct_159_sub	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__DSOI01	s__
GL46_Up_metabat_51	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__GCA-002050365	s__
GL49_UP_concoct_67_sub	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Edaphobacter	s__
GL53_Down_concoct_99	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__	s__
GL53_Down_metabat_36	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__	s__
GL53_Up_metabat_16	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__GCA-002050365	s__
GL58_Up_concoct_85	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__Gp6-AA45	s__
GL61_DN_concoct_89	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidoferrales	f__UBA7541	g__Acidoferrum	s__
GL72_DN_concoct_256	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
GL72_UP_concoct_135_sub	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
GL72_UP_concoct_191	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__Gp6-AA45	s__
GL72_UP_concoct_239_sub	d__Bacteria	p__Acidobacteriota	c__UBA4820	o__	f__	g__	s__
GL72_UP_concoct_308_sub	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
GL72_UP_concoct_70_sub	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Bryobacter	s__
GL73_DN_concoct_173_sub	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__DSOI01	s__
GL73_DN_concoct_61	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
GL73_DN_metabat_76	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__RBC074	f__RBC074	g__	s__
GL73_DN_metabinner_17	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Holophagales	f__Holophagaceae	g__Geothrix	s__
GL74_DN_concoct_272	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__	s__
GL74_UP_concoct_21	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
GL74_UP_metabinner_11	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
GL75_DN_concoct_31	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
GL80_DN_concoct_136_sub	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__RBC074	f__RBC074	g__JAFDVL01	s__
GL82_UP_concoct_14	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Bryobacter	s__
GL82_UP_concoct_93	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Ga0077553	s__
GL85_DN_metabinner_10	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
GL85_DN_metabinner_16	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Holophagales	f__Holophagaceae	g__JADJVL01	s__
GL85_DN_metabinner_2	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
GL85_UP_metabat_97_sub	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__
GL86_DN_metabat_16_sub	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__Gp6-AA45	s__
GL88_UP_metabat_53	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__RBC074	f__RBC074	g__	s__
GL90_UP_metabinner_5	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Granulicella_C	s__
GL91_DN_metabinner_8_sub	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__	s__
GL91_UP_concoct_143	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Granulicella_C	s__
GL92_UP_metabinner_3	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__	s__
GL93_UP_concoct_250	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
GL93_UP_metabinner_34_sub	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__	s__
GL94_DN_metabinner_27	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
GL94_UP_concoct_254	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Ga0077553	s__
GL95_UP_concoct_109_sub	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__12-FULL-67-14b	s__
GL97_UP_metabat_53_sub	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__12-FULL-67-14b	s__
336R_concoct_189_sub	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__PALSA-610	g__F1-120-MAGs023	s__
336R_concoct_237	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
336R_metabat_261	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Nakamurellaceae	g__Nakamurella	s__Nakamurella sp014303395
336R_metabinner_34	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__Planktophila	s__
336R_metabinner_39	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__	s__
337R_concoct_5_sub	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lysinibacter	s__
338R_metabat_123	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Pseudolysinimonas	s__
339R_concoct_57	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
GFS_10002	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__JAAYBP01	g__Aquihabitans	s__
GFS_10004	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
GFS_10006	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Rhodoglobus	s__
GFS_10025	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
GFS_10036	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__Lapillicoccus	s__
GFS_10135	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
GFS_10171	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__CAIYMF01	g__WLRQ01	s__
GFS_10313	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
GFS_1044	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__VFMC01	s__
GFS_10485	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
GFS_10507	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
GFS_10520	d__Bacteria	p__Actinobacteriota	c__	o__	f__	g__	s__
GFS_10653	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__OPB41	f__PALSA-660	g__	s__
GFS_10742	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__
GFS_10859	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__IMCC26256	g__JAENVU01	s__
GFS_10949	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__	g__	s__
GFS_10992	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
GFS_1130	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__	s__
GFS_11384	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
GFS_114	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GFS_11581	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Rhodoglobus	s__
GFS_11600	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__UBA668	s__
GFS_11701	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__UBA4719	s__
GFS_11733	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
GFS_11736	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
GFS_11739	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
GFS_11768	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__UBA4719	s__
GFS_11878	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GFS_11970	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
GFS_12196	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
GFS_12223	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
